ONTOLOGY,ONT_DESCRIPTION,FDR,EA_VALUE,sample,GROUP,GROUP_1,GROUP_2,KEGG_up_DOWN,interaction_entry,reaction_entry,interaction_name,reaction_name
ec00511,Other glycan degradation,0,2.47101554341659,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,UP,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00901,Indole alkaloid biosynthesis,0,60.8849325337331,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,UP,1,1.10,Metabolism,Biosynthesis of other secondary metabolites
ec00600,Sphingolipid metabolism,0,3.42581110492484,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,UP,1,1.3,Metabolism,Lipid metabolism
ec00603,Glycosphingolipid biosynthesis - globo and isoglobo series,0,3.2265242980712,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,UP,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00531,Glycosaminoglycan degradation,3.10196313080269e-14,2.41878343532888,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,UP,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00604,Glycosphingolipid biosynthesis - ganglio series,7.04991620636974e-14,2.43028092046414,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,UP,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00140,Steroid hormone biosynthesis,2.86025171801287e-13,6.13392977018953,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,UP,1,1.3,Metabolism,Lipid metabolism
ec00052,Galactose metabolism,1.35816635715713e-11,1.716108115059,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,UP,1,1.1,Metabolism,Carbohydrate metabolism
ec00561,Glycerolipid metabolism,5.15162054882791e-06,1.85908190942697,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,UP,1,1.3,Metabolism,Lipid metabolism
ec00940,Phenylpropanoid biosynthesis,9.5508568098035e-06,2.81007380924922,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,UP,1,1.10,Metabolism,Biosynthesis of other secondary metabolites
ec00513,Various types of N-glycan biosynthesis,0.000194907396666903,2.26618855584615,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,UP,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00520,Amino sugar and nucleotide sugar metabolism,0.000639780513328914,1.29478343172627,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,UP,1,1.1,Metabolism,Carbohydrate metabolism
ec00511,Other glycan degradation,0,2.47101554341659,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,DOWN,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00901,Indole alkaloid biosynthesis,0,60.8849325337331,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,DOWN,1,1.10,Metabolism,Biosynthesis of other secondary metabolites
ec00600,Sphingolipid metabolism,0,3.42581110492484,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,DOWN,1,1.3,Metabolism,Lipid metabolism
ec00603,Glycosphingolipid biosynthesis - globo and isoglobo series,0,3.2265242980712,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,DOWN,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00531,Glycosaminoglycan degradation,3.10196313080269e-14,2.41878343532888,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,DOWN,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00604,Glycosphingolipid biosynthesis - ganglio series,7.04991620636974e-14,2.43028092046414,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,DOWN,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00140,Steroid hormone biosynthesis,2.86025171801287e-13,6.13392977018953,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,DOWN,1,1.3,Metabolism,Lipid metabolism
ec00052,Galactose metabolism,1.35816635715713e-11,1.716108115059,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,DOWN,1,1.1,Metabolism,Carbohydrate metabolism
ec00561,Glycerolipid metabolism,5.15162054882791e-06,1.85908190942697,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,DOWN,1,1.3,Metabolism,Lipid metabolism
ec00940,Phenylpropanoid biosynthesis,9.5508568098035e-06,2.81007380924922,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,DOWN,1,1.10,Metabolism,Biosynthesis of other secondary metabolites
ec00513,Various types of N-glycan biosynthesis,0.000194907396666903,2.26618855584615,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,DOWN,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00520,Amino sugar and nucleotide sugar metabolism,0.000639780513328914,1.29478343172627,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,DOWN,1,1.1,Metabolism,Carbohydrate metabolism
ec00511,Other glycan degradation,0,3.1180031196015,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,UP,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00531,Glycosaminoglycan degradation,0,2.99013724652834,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,UP,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00600,Sphingolipid metabolism,0,3.95173073020688,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,UP,1,1.3,Metabolism,Lipid metabolism
ec00140,Steroid hormone biosynthesis,0,8.95900657264138,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,UP,1,1.3,Metabolism,Lipid metabolism
ec00604,Glycosphingolipid biosynthesis - ganglio series,0,2.99170071698404,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,UP,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00603,Glycosphingolipid biosynthesis - globo and isoglobo series,1.18793863634892e-14,3.36188651129899,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,UP,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00052,Galactose metabolism,1.59183777270755e-11,1.84431822447382,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,UP,1,1.1,Metabolism,Carbohydrate metabolism
ec00940,Phenylpropanoid biosynthesis,1.19988441363295e-06,3.39665960950365,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,UP,1,1.10,Metabolism,Biosynthesis of other secondary metabolites
ec00513,Various types of N-glycan biosynthesis,1.20247897225953e-06,2.97892526236711,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,UP,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00511,Other glycan degradation,0,3.1180031196015,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,DOWN,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00531,Glycosaminoglycan degradation,0,2.99013724652834,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,DOWN,1,1.7,Metabolism,Glycan biosynthesis and metabolism
