"Group","Ancestors","Ontology"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:1901363, GO:1901265, GO:0043167, GO:0036094, GO:0043168, GO:0005488, GO:0003674, GO:0000166, GO:0032559, GO:0035639, GO:0097159, GO:0097367, GO:0017076, GO:0032553, GO:0030554, GO:0032555","GO:0005524"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0019538, GO:0036211, GO:0007154, GO:1901564, GO:0006468, GO:0044238, GO:0044237, GO:0003674, GO:0043170, GO:0018193, GO:0050794, GO:0003824, GO:0000160, GO:0016310, GO:0016772, GO:0016773, GO:0016775, GO:0050896, GO:0035556, GO:0140299, GO:0065007, GO:0008150, GO:0140096, GO:0007165, GO:0008152, GO:0004672, GO:0006793, GO:0004673, GO:0043412, GO:0009987, GO:0006796, GO:0006807, GO:0023052, GO:0051716, GO:0018202, GO:0016740, GO:0016301, GO:0050789, GO:0071704, GO:0018106","GO:0000155"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0004557, GO:0003824, GO:0015925, GO:0004553, GO:0003674, GO:0016787, GO:0016798","GO:0052692"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0008150, GO:0005975, GO:0009056, GO:0008152, GO:1901575, GO:0044238, GO:0071704","GO:0016052"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0006082, GO:0043648, GO:0170033, GO:0170034, GO:1901564, GO:0006520, GO:1901566, GO:0009058, GO:0044238, GO:0170039, GO:0044237, GO:0170038, GO:0044281, GO:0044283, GO:0006536, GO:0006537, GO:0016053, GO:0009064, GO:0008150, GO:0009084, GO:0008152, GO:1901576, GO:0043650, GO:0008652, GO:0044249, GO:0009987, GO:0043436, GO:0046394, GO:1901605, GO:1901607, GO:0006807, GO:0019752, GO:0071704","GO:0097054"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0003676, GO:0003677, GO:0097159, GO:0005488, GO:0003674","GO:0043565"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0008150, GO:0008152, GO:0044238, GO:0071704","GO:0005975"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0016020, GO:0110165, GO:0030312, GO:0005575, GO:0031975, GO:0019867, GO:0071944, GO:0030313","GO:0009279"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0005488, GO:0003674","GO:0030246"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0003824, GO:0003674, GO:0016787, GO:0016798","GO:0004553"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0008150, GO:0032392, GO:0008094, GO:0140097, GO:0004386, GO:0006996, GO:0009987, GO:0003674, GO:0140657, GO:0051276, GO:0003824, GO:0032508, GO:0016043, GO:0071840, GO:0071103, GO:0140640","GO:0003678"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0003824, GO:0140657, GO:0016817, GO:0016818, GO:0016462, GO:0017111, GO:0003674, GO:0016787","GO:0016887"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0008150, GO:0055085, GO:0051234, GO:0051179, GO:0022857, GO:0042908, GO:0006810, GO:0009987, GO:0003674, GO:0005215","GO:0042910"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0003824, GO:0003674","GO:0016787"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0008150, GO:0055085, GO:0051234, GO:0051179, GO:0022857, GO:0022804, GO:0015291, GO:0006810, GO:0005215, GO:0009987, GO:0003674","GO:0015297"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0003824, GO:0015925, GO:0004553, GO:0003674, GO:0016787, GO:0016798","GO:0004565"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0003824, GO:0015928, GO:0004553, GO:0003674, GO:0016787, GO:0016798","GO:0004560"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0090304, GO:0008150, GO:1901360, GO:0008152, GO:0006996, GO:0006259, GO:0044238, GO:0006139, GO:0044237, GO:0009987, GO:0006725, GO:0043170, GO:0046483, GO:0051276, GO:0006807, GO:0016043, GO:0071840, GO:0071103, GO:0034641, GO:0071704","GO:0006265"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0003824, GO:0004553, GO:0003674, GO:0016787, GO:0016798","GO:0004650"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0140657, GO:0003824, GO:0003674, GO:0140640","GO:0004386"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0003824, GO:0015926, GO:0004553, GO:0003674, GO:0016787, GO:0016798","GO:0008422"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0090304, GO:0008150, GO:1901360, GO:0006260, GO:0008152, GO:0006259, GO:0044238, GO:0006139, GO:0044237, GO:0009987, GO:0043170, GO:0006725, GO:0046483, GO:0006807, GO:0034641, GO:0071704","GO:0006261"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0140097, GO:0003824, GO:0003916, GO:0003674, GO:0140640, GO:0016853","GO:0003917"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0043229, GO:0043232, GO:0043226, GO:0110165, GO:0005575, GO:0005622, GO:0043228","GO:0005694"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0046915, GO:0015075, GO:0008324, GO:0046873, GO:0098660, GO:0003674, GO:0005215, GO:0022890, GO:0006811, GO:0006812, GO:0000041, GO:0098655, GO:0030001, GO:0008150, GO:0055085, GO:0005381, GO:0022857, GO:0034220, GO:0006810, GO:0009987, GO:0098662, GO:0051179, GO:0051234, GO:0006826, GO:0015318, GO:0034755","GO:0015093"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:1902494, GO:0032991, GO:0005575","GO:0009341"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0009064, GO:0006082, GO:0008150, GO:0170033, GO:0008152, GO:0006520, GO:1901564, GO:0170039, GO:0044238, GO:0044237, GO:0009987, GO:0043436, GO:0044281, GO:1901605, GO:0006807, GO:0019752, GO:0071704","GO:0006541"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0006725, GO:0046483, GO:0008150, GO:1901360, GO:0006807, GO:0008152, GO:0034641, GO:0044238, GO:0071704, GO:0044237, GO:0009987","GO:0006139"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0090304, GO:0008150, GO:1901360, GO:0008152, GO:0006259, GO:0044238, GO:0044237, GO:0006139, GO:0009987, GO:0006725, GO:0043170, GO:0046483, GO:0006807, GO:0034641, GO:0071704","GO:0006310"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0015929, GO:0003824, GO:0004553, GO:0003674, GO:0016787, GO:0016798","GO:0004563"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0033293, GO:1901363, GO:1901681, GO:0043167, GO:0043177, GO:0036094, GO:0043168, GO:0005488, GO:0003674, GO:0031406, GO:0097159, GO:0033218","GO:0008658"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0008150","GO:0008152"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0051540, GO:0036094, GO:0005488, GO:0051536, GO:0003674","GO:0051539"
